Latin Name,Common Name,Habit,Width,Moisture,Medicinal Rating,image
Amelanchier x grandiflora,Apple Serviceberry,Shrub,4,M,0,https://pfaf.org/Admin/PlantImages/AmelanchierXGrandiflora2.jpg
Camassia quamash,"Quamash, Small camas, Utah small camas, Walpole's small camas",Bulb,0.2,M,1,https://pfaf.org/Admin/PlantImages/CamassiaQuamash.jpg
Caragana arborescens,"Siberian Pea Tree, Siberian peashrub",Shrub,4,M,1,https://pfaf.org/Admin/PlantImages/CaraganaArborescens2.jpg
Cephalotaxus harringtonia,Japanese Plum Yew,Shrub,3,M,0,https://pfaf.org/Admin/PlantImages/CephalotaxusHarringtoniaDrupacea2.jpg
Cephalotaxus harringtonia koreana,Korean Plum Yew,Shrub,3,M,0,https://pfaf.org/Admin/PlantImages/CephalotaxusHarringtoniaKorea.jpg
Corylus maxima,"Filbert, Giant filbert",Shrub,5,M,0,https://pfaf.org/Admin/PlantImages/CorylusMaxima.jpg
Cucurbita moschata,"Squash, Crookneck squash",Annual Climber,4,M,3,https://cdn.pixabay.com/photo/2014/11/19/06/07/squash-536950__480.jpg
Elaeagnus cordifolia,Elaeagnus cordifolia,Shrub,4,M,2,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/SilverBerries1.jpg/440px-SilverBerries1.jpg
Elaeagnus macrophylla,Elaeagnus macrophylla,Shrub,3,M,2,https://pfaf.org/Admin/PlantImages/ElaeagnusMacrophylla.jpg
Elaeagnus multiflora,"Goumi, Cherry silverberry",Shrub,2,M,2,https://pfaf.org/Admin/PlantImages/ElaeagnusMultiflora.jpg
Elaeagnus multiflora ovata,Goumi,Shrub,2,M,2,https://pfaf.org/Admin/PlantImages/ElaeagnusMultiflora2.jpg
Elaeagnus pungens,"Elaeagnus, Thorny olive, Thorny Elaeagnus, Oleaster, Silverberry, Silverthorn, Pungent Elaeagnus",Shrub,4,M,2,https://cdn.pixabay.com/photo/2015/07/22/13/36/elaeagnus-angustifolia-855509__480.jpg
Elaeagnus x ebbingei,"Elaeagnus, Ebbing's Silverberry",Shrub,5,M,2,https://pfaf.org/UserFilesCms/Elaeagnus_ebbingei_all.jpg
Gaultheria shallon,"Shallon, Salal",Shrub,1,M,2,https://plants.usda.gov/gallery/standard/gash_001_shp.jpg
Helianthus annuus,"Sunflower, Common sunflower",Annual,0.3,M,2,https://cdn.pixabay.com/photo/2016/07/21/22/04/sunflower-1533698__480.jpg
Lupinus mutabilis,"Pearl Lupin, Tarwi",Annual,0.3,M,0,https://pfaf.org/Admin/PlantImages/LupinusMutabilis6.jpg
Manihot esculenta,"Cassava, Tapioca Plant, Yuca",Shrub,3,M,2,https://cdn.pixabay.com/photo/2014/05/18/08/10/cassava-346887__480.jpg
Passiflora ligularis,"Sweet Grenadilla, Passion Flower",Climber,0.5,M,0,https://pfaf.org/Admin/PlantImages/Passiflora%20ligularis4_Low_Resolution.JPEG
Ribes uva-crispa,"Gooseberry, European gooseberry",Shrub,1,M,1,https://cdn.pixabay.com/photo/2016/04/18/23/51/gooseberry-1337759__480.jpg
Rosa rugosa,"Ramanas Rose, Rugosa rose",Shrub,2,M,2,https://cdn.pixabay.com/photo/2016/02/14/08/55/wild-rose-1199146__480.jpg
Rubus fruticosus,"Blackberry, Shrubby blackberry",Shrub,3,M,3,https://cdn.pixabay.com/photo/2016/09/22/13/23/bramble-1687348__480.jpg
Rubus idaeus,"Raspberry, American red raspberry, Grayleaf red raspberry",Shrub,1.5,M,3,https://cdn.pixabay.com/photo/2017/09/21/19/04/raspberries-2773000__480.jpg
Rubus loganobaccus,Loganberry,Shrub,2.5,M,0,https://cdn.pixabay.com/photo/2017/05/25/17/36/berries-2343934__480.jpg
Rubus nepalensis,Nepalese Raspberry,Shrub,1,M,0,https://pfaf.org/Admin/PlantImages/RubusNepalensis.jpg
Rubus phoenicolasius,"Japanese Wineberry, Wine raspberry",Shrub,1,M,0,https://pfaf.org/Admin/PlantImages/RubusPhoenicolasius2.jpg
Salacca zalacca,"Salak Palm, Snake Palm",Shrub,4,M,0,https://cdn.pixabay.com/photo/2016/10/27/12/43/salak-1774756__480.jpg
Sauropus androgynus,"Sweet Leaf, Sweetleaf Bush, Katuk",Shrub,3,M,2,https://cdn.pixabay.com/photo/2017/10/23/12/34/sauropus-androgynus-2880934__480.jpg
Ugni molinae,Chilean guava,Shrub,1,M,0,https://pfaf.org/Admin/PlantImages/UgniMolinae.jpg
